"HEADING","ABBR_HDNG","ABBR_CODE","ABBR_DESC","ABBR_LIST","ABBR_REM","FILE_FSET"
"UNIT","","","","","",""
"TYPE","X","X","X","X","X","X"
"DATA","ARTW_TYPE","DRY","Dry test","4.1","",""
"DATA","ARTW_TYPE","WET","Wet test","4.1","",""
"DATA","BKFL_LEG","901","Sand backfill","4.1","",""
"DATA","BKFL_LEG","902","Gravel backfill","4.1","",""
"DATA","BKFL_LEG","903","Bentonite","4.1","",""
"DATA","BKFL_LEG","904","Grout","4.1","",""
"DATA","BKFL_LEG","905","Arisings","4.1","",""
"DATA","BKFL_LEG","906","Concrete","4.1","",""
"DATA","BKFL_LEG","907","Asphalt","4.1","",""
"DATA","BKFL_LEG","908","Ballast","4.1","",""
"DATA","BKFL_LEG","909","Upstanding cover","4.1","",""
"DATA","BKFL_LEG","910","Flush cover","4.1","",""
"DATA","BKFL_LEG","912","Paving slab","4.1","",""
"DATA","BKFL_LEG","913","Timber","4.1","",""
"DATA","BKFL_LEG","914","Mortar","4.1","",""
"DATA","BKFL_LEG","999","Void","4.1","",""
"DATA","CBRG_COND","REMOULDED","Remoulded","4.1","",""
"DATA","CBRG_COND","UNDISTURBED","Undisturbed","4.1","",""
"DATA","CMPG_MOLD","1 LITRE","1 Litre mould type","4.1","",""
"DATA","CMPG_MOLD","CBR","CBR Mould type","4.1","",""
"DATA","CMPG_TYPE","2.5KG","2.5kg","4.1","",""
"DATA","CMPG_TYPE","4.5KG","4.5kg Heavy compaction","4.1","",""
"DATA","CMPG_TYPE","VIBRO","Vibro compaction","4.1","",""
"DATA","CONG_COND","REMOULDED","Remoulded","4.1","",""
"DATA","CONG_COND","UNDISTURBED","Undisturbed","4.1","",""
"DATA","CONG_TYPE","EXPANDABILITY","Expandability","4.1","",""
"DATA","CONG_TYPE","HYDRAULIC CELL","Hydraulic cell","4.1","",""
"DATA","CONG_TYPE","OEDOMETER","Oedometer","4.1","",""
"DATA","CONG_TYPE","SETTLESAT","Settlement on saturation","4.1","",""
"DATA","CONG_TYPE","SWELL","Measurement of swelling","4.1","",""
"DATA","CONG_TYPE","SWELLPRESS","Measurement of swelling pressure","4.1","",""
